ID,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,pages,volume,lang,editionDescr
1244,Leon and the Spitting Image,"Kurzweil, Allen",1,Audio Recording Downloadable,HarperCollins Publishers,9780060845896,2005,5,10,,,ENG,Unabridged
1245,Open Season: the Mighty Grizzly,"Jones, Jasmine",1,Paperback,HarperCollins Publishers,9780060846077,2006,8,15,64,,ENG,
1246,Death of a Rug Lord,"Myers, Tamar",1,Mass Market,HarperCollins Publishers,9780060846596,2008,5,27,320,,ENG,
1247,Spirit,"Hightman, J. P.",1,Paperback,HarperCollins Publishers,9780060850654,2009,8,25,224,,ENG,
1248,"Runnin' with the Big Dogs : The Long, Twisted History of the Texas-OU Rivalry","Shropshire, Mike",1,Perfect,HarperCollins Publishers,9780060852795,2007,8,21,240,,ENG,
1249,God's Gold : A Quest for the Lost Temple Treasures of Jerusalem,"Kingsley, Sean",1,Paperback,HarperCollins Publishers,9780060853990,2008,6,17,352,,ENG,
1250,First Day Frights,"Keane, Dave",1,,HarperCollins Publishers,9780060854751,,,,32,,,
1251,Just Shy of Harmony,"Gulley, Philip",1,Mass Market,HarperCollins Publishers,9780060858391,2006,3,28,272,,ENG,
1252,"Autism Sourcebook : Everything You Need to Know about Diagnosis, Treatment, Coping, and Healing--From a Mother Whose Child Recovered","Exkorn, Karen Siff Exkorn, Karen S.",2,Paperback,HarperCollins Publishers,9780060859756,2006,9,19,432,,ENG,
1253,Case for Hillary Clinton,"Estrich, Susan R.",1,Perfect,HarperCollins Publishers,9780060859831,2006,0,10,288,,ENG,Annotated
1254,Grant and Sherman : The Friendship That Won the Civil War,"Flood, Charles Bracelen",1,Paperback,HarperCollins Publishers,9780060873202,2005,1,,304,,ENG,Large Type
1255,Natural History of Unicorns,"Lavers, Chris",1,Paperback,HarperCollins Publishers,9780060874155,2010,7,20,272,,ENG,
1256,Parenthood by Proxy,"Schlessinger, Laura",1,E-Book,HarperCollins Publishers,9780060875466,2005,2,27,,,ENG,
1257,Manhunt,"Evanovich, Janet",1,Audio Cassette,HarperCollins Publishers,9780060876319,2005,1,29,,,ENG,Unabridged
1258,Moment to Moment,"Drake, Bonnie",1,E-Book,"HarperCollins Canada, Limited",9780060876746,,,,,,ENG,
1259,Universe,"Simon, Seymour",1,Trade Cloth,HarperCollins Publishers,9780060877248,2006,5,23,32,,ENG,
1260,Poor People,"Vollmann, William T.",1,Paperback,HarperCollins Publishers,9780060878849,2008,1,22,464,,ENG,
1261,Woman's Place,"Delinsky, Barbara",1,E-Book,"HarperCollins Canada, Limited",9780060880903,2005,1,01,,,ENG,
1262,Busted! : Drug War Survival Skills and True Dope D,"Fabricant, M. Chris",1,E-Book,HarperCollins Publishers,9780060880996,2005,8,09,,,ENG,
1263,Organic Chemistry,"Smith, Michael",1,Paperback,HarperCollins Publishers,9780060881542,2006,7,03,624,,ENG,
1264,When did wild poodles roam the Eart,"Feldman, David",1,Audio Recording Downloadable,HarperCollins Publishers,9780060883119,2006,1,31,,,ENG,Abridged
1265,"Monkey Girl : Evolution, Education, Religion, and the Battle for America's Soul","Humes, Edward",1,Trade Cloth,HarperCollins Publishers,9780060885489,2007,1,30,400,,ENG,Annotated
1266,Brief Encounters with Che Guevara,"Fountain, Ben",1,Trade Cloth,HarperCollins Publishers,9780060885588,2006,8,01,240,,ENG,
1267,Perfect,"Shepard, Sara",1,Paperback,HarperCollins Publishers,9780060887384,2008,5,27,336,,ENG,
1268,Stars,"Simon, Seymour",1,Paperback,HarperCollins Publishers,9780060890018,2006,5,23,32,,ENG,
1269,Day with Wilbur Robinson,"Joyce, William",1,Picture Book,HarperCollins Publishers,9780060890995,2006,8,22,40,,ENG,
1270,Eclipse,"Hunter, Erin",1,Paperback,HarperCollins Publishers,9780060892135,2009,7,28,336,,ENG,
1271,Restaurants by Design,"Riordan, John",1,Paperback,HarperCollins Publishers,9780060893460,2006,8,01,186,,ENG,
1272,Your Money or Your Life,"Cavuto, Neil",1,Audio Recording Downloadable,HarperCollins Publishers,9780060893644,2005,1,08,,,ENG,Abridged
1273,Fartsy Claus,"Chivus, Mitch",1,Picture Book,HarperCollins Publishers,9780060894665,2007,9,25,32,,ENG,
1274,Pardon and Beyond Suspicion,"Grippando, James",1,Paperback,HarperCollins Publishers,9780060894726,2006,3,28,864,,ENG,
1275,Best American Crime Writing 2005,"Penzler, Otto Cook, Thomas H. Ellroy, James",3,E-Book,HarperCollins Publishers,9780060895266,2005,9,13,,,ENG,
1276,Mental-floss Presents Instant Knowldge,"Pearson, Will Hattikudur, Mangesh",2,E-Book,"HarperCollins Canada, Limited",9780060897635,2005,1,01,,,ENG,
1277,Henry and the Paper Route,"Cleary, Beverly",1,Compact Disc,HarperCollins Publishers,9780060898311,2006,6,27,0,,ENG,Unabridged
1278,Love and Protest : Chinese Poems from the Sixth Century B.C. to the Seventeenth Century A.D,"Scott, John Martin, Graham",2,Trade Cloth,Harper & Row Limited,9780060902612,1972,,,168,,"Chinese,ENG",
1279,Harvey Wasserman's History of the United States,"Wasserman, Harvey",1,Paperback,Harper & Row Limited,9780060902698,1972,,,"xix, 262",,ENG,
1280,Story of Rock,"Belz, Carl",1,Paperback,HarperCollins Publishers,9780060903442,1973,8,,"xiii, 286",,ENG,
1281,Living with Contradictions : A Married Feminist,"McBride, Angela B.",1,Mass Market,HarperCollins Publishers,9780060905569,1977,9,,244,,ENG,
1282,Soft Energy Paths : Toward a Durable Peace,"Lovins, Amory B.",1,Mass Market,HarperCollins Publishers,9780060906535,1979,2,,,,ENG,Reprint
1283,Meaning of Happiness : The Quest for Freedom of the Spirit in Modern Psychology and the Wisdom of the East,"Watts, Alan W.",1,Paperback,HarperCollins Publishers,9780060906764,1979,2,,219,,ENG,
1284,Handbook of Chinese Horoscopes,"Lau, Theodora",1,Paperback,HarperCollins Publishers,9780060907525,1980,2,,,,ENG,
1285,Responsibility in Mass Communication,"Rivers, William L. Schramm, Wilbur Christians, Clifford G.",3,Mass Market,HarperCollins Publishers,9780060908324,1981,1,,378,,ENG,
1286,Mother Machine : From Artificial Insemination to Artificial Wombs,"Corea, Gena",1,Paperback,HarperCollins Publishers,9780060913250,1986,6,,384,,ENG,Reprint
1287,Illywhacker,"Carey, Peter",1,Paperback,HarperCollins Publishers,9780060913311,1986,7,,608,,ENG,Reprint
1288,"Amo, Amas, Amat and More : How to Use Latin to Your Own Advantage and to the Astonishment of Others","Ehrlich, Eugene",1,Paperback,HarperCollins Publishers,9780060913953,1987,2,,352,,ENG,Reprint
1289,"Vogue Easy Sewing : Timesaving Techniques, Shortcuts, Tips and Tricks for Today's Busy Sewers",Butterick Staff,1,Paperback,HarperCollins Publishers,9780060914080,1987,8,,192,,ENG,
1290,"Boys of Summer : The Classic Narrative of Growing up Within Shouting Distance of Ebbets Field, Covering the Jackie Robinson Dodgers, and What's Happened to Everybody Since","Kahn, Roger",1,Paperback,HarperCollins Publishers,9780060914165,1998,4,,496,,ENG,
1291,Born Dancing : How Intuitive Parents Understand Their Baby's Unspoken Language and Natural Rhythms,"Thoman, Evelyn B. Browder, Sue Ellin",2,Paperback,HarperCollins Publishers,9780060914639,1988,2,,256,,ENG,Reprint
1292,"Doublespeak - from Revenue Enhancement to Terminal Living : How Governments, Businesses and Advertisers Use Language to Deceive You","Lutz, William D.",1,Trade Cloth,HarperCollins Publishers,9780060919931,1990,0,,304,,ENG,Reprint
1293,Gulag Archipelago,"Solzhenitsyn, Aleksandr",1,Paperback,HarperCollins Publishers,9780060921026,1991,9,,672,1,ENG,Reprint
1294,Crazy Time : Surviving Divorce and Building a New Life,"Trafford, Abigail",1,Paperback,HarperCollins Publishers,9780060923099,1992,2,02,304,,ENG,Revised
1295,Photo Ann Leibovitz,,0,Paperback,HarperCollins Publishers,9780060923464,1992,0,21,232,,ENG,
1296,Heroines,"Goodrich, Norma L.",1,Paperback,HarperCollins Publishers,9780060925024,1994,6,,288,,ENG,Reprint
1297,Glad Tidings : A Friendship in Letters,"Cheever, John",1,Paperback,HarperCollins Publishers,9780060925550,1994,8,,368,,ENG,
1298,Art of Dreaming,"Casta�eda, Carlos",1,Paperback,HarperCollins Publishers,9780060925710,1994,5,,272,,ENG,
1299,African Women : Three Generations,"Mathabane, Mark",1,Paperback,HarperCollins Publishers,9780060925833,1995,1,,384,,ENG,
1300,Listen to the Stories : Nat Hentoff on Jazz and Country Music,"Hentoff, Nat",1,Paperback,HarperCollins Publishers,9780060927127,1996,3,,240,,ENG,
1301,Patton : A Genius for War,"D'Este, Carlo",1,Paperback,HarperCollins Publishers,9780060927622,1996,9,27,1024,,ENG,
1302,"Blood and Iron : From Bismarck to Hitler, the Von Moltke Family's Impact on German History","Friedrich, Otto",1,Paperback,HarperCollins Publishers,9780060927677,1996,1,06,448,,ENG,
1303,Mr. Ives' Christmas,"Hijuelos, �scar",1,Paperback,HarperCollins Publishers,9780060927745,1996,8,,256,,ENG,
1304,"Prairie Cooks : Glorified Rice, Three-Day Buns, and Other Recipes and Reminiscences","Young, Carrie Young, Felicia",2,Paperback,HarperCollins Publishers,9780060927769,1997,5,07,144,,ENG,
1305,Overcoming Depression,"Papolos, Demitri",1,Paperback,HarperCollins Publishers,9780060927820,1997,1,10,432,,ENG,Reprint
1306,"Full Woman, Fleshly Apple, Hot Moon : Selected Poems of Pablo Neruda","Neruda, Pablo",1,Paperback,HarperCollins Publishers,9780060928773,1998,2,11,288,,ENG,
1307,Living the Bill of Rights : How to Be an Authentic American,"Hentoff, Nat",1,Paperback,HarperCollins Publishers,9780060930608,1999,1,,388,,ENG,
1308,Whistle : A Novel,"Daugharty, Janice",1,Paperback,HarperCollins Publishers,9780060930912,1999,3,,224,,ENG,
1309,Asperger Syndrome and Your Child : A Parent's Guide,"Powers, Michael D. Poland, Janet Powers, Mich",3,Paperback,HarperCollins Publishers,9780060934880,2003,9,23,320,,ENG,
1310,Gold Train : The Destruction of the Jews and the Looting of Hungary,"Zweig, Ronald W.",1,Paperback,HarperCollins Publishers,9780060935122,2003,2,,352,,ENG,
1311,How I Accidentally Joined the Vast Right-Wing Conspiracy (And Found Inner Peace),"Stein, Harry",1,Paperback,HarperCollins Publishers,9780060936976,2001,1,06,304,,ENG,
1312,Access Los Angeles,"Pietschmann, Patti Covello",1,Paperback,HarperCollins Publishers,9780060938321,,,,,,ENG,
1313,Paris,"Wurman, Richard Saul",1,Paperback,HarperCollins Publishers,9780060938352,2002,6,,304,,ENG,
1314,No Respect,"Dangerfield, Rodney",1,Paperback,HarperCollins Publishers,9780060951177,1995,4,,160,,ENG,
1315,North Street and Other Poems,"Galassi, Jonathan",1,Paperback,HarperCollins Publishers,9780060953706,2001,5,,160,,ENG,
1316,Second Battle of New Orleans : The Hundred-Year Struggle to Integrate the Schools,"Baker, Liva",1,Paperback,HarperCollins Publishers,9780060955069,1996,2,,564,,ENG,
1317,Dogs I Have Scratched,"Rosen, Michael J.",1,Paperback,HarperCollins Publishers,9780060956509,2000,1,,,,ENG,
1318,Your Pregnancy Month by Month,"Gillespie, Clark",1,Paperback,HarperCollins Publishers,9780060957148,1998,9,23,336,,ENG,
1319,Passion for Truth : From Finding JFK's Single Bullet to Questioning Anita Hill to Impeaching Clinton,"Specter, Arlen Robbins, Charles",2,Paperback,HarperCollins Publishers,9780060958107,2001,1,,640,,ENG,
1320,Love's Executioner : And Other Tales of Psychotherapy,"Yalom, Irvin D.",1,Paperback,HarperCollins Publishers,9780060958343,2000,9,05,304,,ENG,Reprint
1321,"Scouting Report, 1987 : The Most In-Depth Analysis of the Strengths and Weaknesses of Every Active Major League Baseball Player","Killebres, Harmon Robinson, Brooks",2,Paperback,HarperCollins Publishers,9780060961367,1987,3,,672,,ENG,
1322,"Way of the Seeded Earth Vol. 2, Pt. 1 : The Sacrifice","Campbell, Joseph",1,Paperback,HarperCollins Publishers,9780060963507,1988,2,,,,ENG,
1323,Short History of Reconstruction : 1863-1877,"Foner, Eric",1,Paperback,HarperCollins Publishers,9780060964313,1990,1,10,320,,ENG,Abridged
1324,Turkey Cookbook : One Hundred Thirty-Eight New Ways to Cook America's Favorite Bird,"Rogers, Rick",1,Paperback,HarperCollins Publishers,9780060965587,1990,9,,288,,ENG,
1325,Girltalk : All the Stuff Your Sister Never Told You,"Weston, Carol",1,Paperback,HarperCollins Publishers,9780060966188,1992,7,,320,,ENG,Reprint
1326,"Personal Computers for the Computer Illiterate : The What When Why Where and How Guide to Understanding, Buying and Using","Owen, Barry",1,Paperback,HarperCollins Publishers,9780060968397,1991,4,,224,,ENG,
1327,How to Go to Hell,"Groening, Matt",1,Paperback,HarperCollins Publishers,9780060968793,1991,9,,48,,ENG,
1328,Rapture,"Mitchell, Susan",1,Paperback,HarperCollins Publishers,9780060969066,1992,4,22,96,,ENG,
1329,Art Attack,"Conal, Robbie",1,Paperback,HarperCollins Publishers,9780060969516,1992,0,,64,,ENG,
1330,Mountbatten,"Ziegler, Philip",1,Paperback,HarperCollins Publishers,9780060970222,1986,1,,832,,ENG,
1331,Wallpaper Fox,"Morris, Philipson",1,Paperback,HarperCollins Publishers,9780060971304,1988,2,,192,,ENG,Reprint
1332,American Appetites,"Oates, Joyce Carol",1,Paperback,HarperCollins Publishers,9780060972783,1990,1,,352,,ENG,
1333,Hard to Get : Fast Talk and Rude Questions along the Interview Trail,"Collins, Nancy A.",1,Paperback,HarperCollins Publishers,9780060974336,1992,1,,368,,ENG,Reprint
1334,Three Farmers on Their Way to a Dance,"Powers, Richard",1,Paperback,HarperCollins Publishers,9780060975098,1992,7,31,352,,ENG,
1335,Outerbridge Reach,"Stone, Robert",1,Paperback,HarperCollins Publishers,9780060975302,1993,3,,416,,ENG,
1336,Eight Men,"Wright, Richard",1,Paperback,HarperCollins Publishers,9780060976811,1996,0,09,272,,ENG,
1337,Equation for Evil,"Caputo, Philip",1,Paperback,HarperCollins Publishers,9780060984113,1997,2,,496,,ENG,
1338,Pastures of Plenty : A Self-Portrait,"Guthrie, Woody",1,Paperback,HarperCollins Publishers,9780060984199,1992,2,,288,,ENG,Reprint
1339,Bridge of San Luis Rey,"Wilder, Thornton",1,Trade Cloth,HarperCollins Publishers,9780060995591,1998,9,,,,ENG,
1340,Wyvern,"Attanasio, A. A.",1,Mass Market,HarperCollins Publishers,9780061000119,1990,3,,704,,ENG,
1341,Wolfsbane,"Thomas, Craig",1,Mass Market,HarperCollins Publishers,9780061000607,1990,8,,416,,ENG,
1342,Afrikorps,"Dolan, Bill",1,Mass Market,HarperCollins Publishers,9780061002038,1991,7,,256,,ENG,
1343,Whisper of Midnight,"Simpson, Patricia",1,Mass Market,HarperCollins Publishers,9780061002472,1966,6,,304,,ENG,
1344,Lemon Tree,"Forrester, Helen",1,Mass Market,HarperCollins Publishers,9780061002908,1992,3,,448,,ENG,
1345,Vanishing American,"Grey, Zane",1,Mass Market,HarperCollins Publishers,9780061002953,1991,0,,336,,ENG,
1346,Vanishment,"Aycliffe, Jonathan",1,Mass Market,HarperCollins Publishers,9780061006586,1994,6,,240,,ENG,
1347,Choctaw Trail,"Camp, Will",1,Mass Market,HarperCollins Publishers,9780061007293,1994,2,,240,,ENG,
1348,All the Winters That Have Been,"Maxwell, Evan",1,Paperback,HarperCollins Publishers,9780061009037,1996,7,,240,,ENG,
1349,Love's Unseen Enemy : How to Overcome Guilt to Build Healthy Relationships,"Parrott, Les",1,Paperback,HarperCollins Publishers,9780061009402,1996,6,,240,,ENG,
1350,Sisters and Strangers,"Curtis, Eileen",1,Paperback,HarperCollins Publishers,9780061010132,1996,5,,368,,ENG,
1351,Gun Play at Cross Creek,"Dugan, Bill",1,Paperback,HarperCollins Publishers,9780061011207,1996,4,,192,,ENG,
1352,Mermaids Singing,"McDermid, Val",1,Mass Market,HarperCollins Publishers,9780061011757,1997,1,,480,,ENG,
1353,Southern Exposure,"Rooth, Anne Reed",1,Paperback,HarperCollins Publishers,9780061013645,1999,8,,384,,ENG,
1354,Butterfly Lost,"Cole, David",1,Mass Market,HarperCollins Publishers,9780061013942,2000,3,,384,,ENG,
1355,My Fallen Angel,"Britton, Pamela",1,Paperback,HarperCollins Publishers,9780061014314,2000,2,,352,,ENG,
1356,Awakening,"Smith, L. J.",1,Mass Market,HarperCollins Publishers,9780061020001,1999,3,,320,,ENG,
1357,Color of Magic,"Pratchett, Terry",1,Mass Market,HarperCollins Publishers,9780061020711,2000,2,02,240,,ENG,
1358,"Double Deal : The Inside Story of Murder, Unbridled Corruption, and the Cop Who Was a Mobster","Giancana, Sam Corbitt, Michael",2,Paperback,HarperCollins Publishers,9780061030482,2004,2,24,400,,ENG,
1359,How to Live the Christian Life,"Hughes, Selwyn",1,Paperback,HarperCollins Publishers,9780061040085,1990,2,,192,,ENG,
1360,Murder Hurts,"Maxwell, A. E.",1,Paperback,HarperCollins Publishers,9780061043185,1995,2,,352,,ENG,
1361,Ten Secrets of Abundant Happiness,"Jackson, Adam J.",1,Paperback,HarperCollins Publishers,9780061044212,1996,7,,144,,ENG,
1362,Shattered Silk,"Michaels, Barbara",1,Mass Market,HarperCollins Publishers,9780061044731,1999,1,,320,,ENG,
1363,Beyond the Stars,"Shatner, William",1,Trade Cloth,HarperCollins Publishers,9780061051180,2000,2,01,240,,ENG,
1364,Freedom Maze,"Sherman, Delia",1,Trade Cloth,HarperCollins Publishers,9780061051470,1950,1,,288,,ENG,
1365,Women and Other Aliens,"Griffith, Nicola",1,Mass Market,HarperCollins Publishers,9780061052569,,,,,,ENG,
1366,There and Back Again : The Map of the Hobbit,"Sibley, Brian",1,Paperback,HarperCollins Publishers Limited,9780061055133,1995,2,17,24,,ENG,
1367,Ever No. 1 : The War in the Waste,"Savage, Felicity",1,Mass Market,HarperCollins Publishers,9780061056789,1997,9,,544,,ENG,
1368,Time Blender,,0,Mass Market,HarperCollins Publishers,9780061056840,,,,288,3,ENG,
1369,Ruins,"Anderson, Kevin J.",1,Mass Market,HarperCollins Publishers,9780061057366,1996,2,26,288,,ENG,
1370,Wolf and the Crown,"Attanasio, A. A.",1,Paperback,HarperCollins Publishers,9780061057762,1999,4,,432,,ENG,
1371,Cal 01 Tolkien Wall Calendar,"Tolkien, J. R. R.",1,"""Book, Other""",HarperCollins Publishers,9780061058523,2000,8,,24,,ENG,
1372,Spring Break No. 1 : Road Trip,"Page, Allison",1,Paperback,HarperCollins Publishers,9780061060502,1991,3,,192,,ENG,
1373,Could This Be Love?,"Brennan, Melissa",1,Paperback,HarperCollins Publishers,9780061060670,1991,1,,192,,ENG,
1374,Most Beautiful Horse,"Redmond, Diane",1,Paperback,HarperCollins Publishers,9780061062049,1994,2,,192,,ENG,
1375,Wonder's First Race Special Edition,"Campbell, Joanna",1,Mass Market,HarperCollins Publishers,9780061062209,1993,2,05,192,,ENG,Special
1376,Virgo : Desperately Yours,"Malcolm, Jahnna N.",1,Paperback,HarperCollins Publishers,9780061062681,1995,8,,208,,ENG,
1377,Bloodlines,"Harrell, Janice",1,Mass Market,HarperCollins Publishers,9780061064029,1995,0,,240,,ENG,
1378,Samantha Crane on the Edge,"Cooney, Linda A.",1,Paperback,HarperCollins Publishers,9780061064111,1996,0,,224,,ENG,
1379,Camp Saddlebrook,"Campbell, Joanna",1,Paperback,HarperCollins Publishers,9780061065309,1998,6,03,192,,ENG,
1380,MK&A Fashion Planner,"Olsen, Ashley Olsen, Mary-Kate",2,"""Book, Other""",HarperCollins Publishers,9780061068287,2001,4,01,32,,ENG,
1381,Baby Geniuses Go to Preschool,"Wax, Wendy",1,Paperback,HarperCollins Publishers,9780061071089,,,,,,ENG,
1382,Making of the X-Files Feature Film,"Duncan Jesser, Jody",1,Paperback,HarperCollins Publishers,9780061073168,1998,7,,96,,ENG,
1383,Official Nascar Craftsman Series Handbook,"Pistone, Peter",1,Paperback,HarperCollins Publishers,9780061073311,2000,2,,,,ENG,
1384,Round-Headed Kid and Me,"Schulz, Charles M.",1,Paperback,HarperCollins Publishers,9780061075544,1999,6,,24,,ENG,
1385,Winter Ballad,"Samuel, Barbara",1,Paperback,HarperCollins Publishers,9780061080791,1994,1,,352,,ENG,
1386,Mail Order Outlaw,"Criswell, Millie",1,Paperback,HarperCollins Publishers,9780061080944,1994,7,,384,,ENG,
1387,Always,"Renick, Jeane",1,Mass Market,HarperCollins Publishers,9780061082948,1994,6,,384,,ENG,
1388,Chances Are,"Hatcher, Robin Lee",1,Paperback,HarperCollins Publishers,9780061083877,1996,5,,368,,ENG,
1389,Raging Hearts,"Hagan, Patricia",1,Paperback,HarperCollins Publishers,9780061084775,1997,2,,464,,ENG,
1390,Heart of a Knight,"Samuel, Barbara",1,Mass Market,HarperCollins Publishers,9780061085185,1997,8,,384,,ENG,
1391,Sharpe's Devil,"Cornwell, Bernard",1,Mass Market,HarperCollins Publishers,9780061090288,1993,9,04,368,,ENG,
1392,Inventing Memory : A Novel of Mothers and Daughters,"Jong, Erica",1,Mass Market,HarperCollins Publishers,9780061091803,1998,4,,384,,ENG,
1393,Night of the Apocalypse,"Easterman, Daniel",1,Mass Market,HarperCollins Publishers,9780061092053,1996,8,,448,,ENG,
1394,Everything to Gain,"Bradford, Barbara Taylor",1,Mass Market,HarperCollins Publishers,9780061092077,1995,6,01,416,,ENG,
1395,Pulling Your Own Strings : Dynamic Techniques for Dealing with Other People and Living Your Life As You Choose,"Dyer, Wayne W.",1,Paperback,HarperCollins Publishers,9780061092244,1994,2,04,320,,ENG,
1396,Thief of Light,"Ramus, David",1,Paperback,HarperCollins Publishers,9780061094200,1997,1,,384,,ENG,
1397,Confidence Course : Seven Steps to Self-Fulfillment,"Anderson, Walter",1,Paperback,HarperCollins Publishers,9780061094538,1998,2,03,256,,ENG,
1398,Nimitz Class,"Robinson, Patrick",1,Mass Market,HarperCollins Publishers,9780061096846,1998,2,,528,,ENG,
1399,Souls to Keep : A Novel,"Robbins, David L.",1,Mass Market,HarperCollins Publishers,9780061097911,1999,5,,272,,ENG,
1400,Count,"Dela, Helena Piatkus Books Staff",2,Mass Market,HarperCollins Publishers,9780061098840,2000,3,,416,,ENG,
1401,Wall Games,"Dobbs, Michael",1,Mass Market,HarperCollins Publishers,9780061099403,1991,2,,432,,ENG,
1402,Secret Lives,"Chamberlain, Diane",1,Mass Market,HarperCollins Publishers,9780061099502,1992,1,,496,,ENG,
1403,God's Choice,"Weigel, George",1,E-Book,HarperCollins Publishers,9780061118500,2005,2,13,,,ENG,
1404,1000 Cures for 200 Ailments : Integrated Alternative and Conventional Treatments for the Most Common Illnesses,"Sierpina, Victor",1,Trade Cloth,HarperCollins Publishers,9780061120299,2007,2,27,1008,,ENG,
1405,Fiesta de Disfraces,"Egan, Kate",1,Paperback,HarperCollins Publishers,9780061122088,2006,7,25,24,,SPA,
1406,Gran Escape,"Katschke, Judy",1,Perfect,HarperCollins Publishers,9780061122224,2006,3,01,64,,SPA,
1407,Why Do Men Have Nipples?,"Goldberg, Billy Leyner, Mark",2,Audio Recording Downloadable,HarperCollins Publishers,9780061122248,2005,1,08,,,ENG,Unabridged
1408,Princess Charlotte and the Birthday Ball,"French, Vivian",1,Paperback,HarperCollins Publishers,9780061124280,2007,1,01,80,,ENG,
1409,Under the Duvet,"Keyes, Marian",1,E-Book,HarperCollins Publishers,9780061125010,2005,2,13,,,ENG,
1410,Hong Kong,"Coonts, Stephen",1,Audio Recording Downloadable,HarperCollins Publishers,9780061126000,2007,8,28,,,ENG,Unabridged
1411,Confidence Course,"Anderson, Walter",1,Audio Recording Downloadable,HarperCollins Publishers,9780061127496,2005,2,13,,,ENG,Abridged
1412,Gimp : The Story Behind the Star of Murderball,"Swanson, Tim Zupan, Mark",2,Trade Cloth,HarperCollins Publishers,9780061127687,2006,0,,276,,ENG,
1413,Trigger City,"Chercover, Sean",1,Trade Cloth,HarperCollins Publishers,9780061128691,2008,0,01,304,,ENG,
1414,"How to Invest $50-$5,000 : The Small Investor's Step-by-Step Plan for Low-Risk, High-Value Investing","Dunnan, Nancy",1,Paperback,HarperCollins Publishers,9780061129827,2007,5,01,256,,ENG,
1415,Secret Life of Sparrow Delaney,"Harper, Suzanne",1,Library Binding,HarperCollins Publishers,9780061131592,2007,7,,362,,ENG,
1416,AC/DC : Maximum Rock and Roll: The Ultimate Story of the World's Greatest Rock-and-Roll Band,"Engleheart, Murray Durieux, Arnaud",2,Trade Cloth,HarperCollins Publishers,9780061133916,2007,1,02,400,,ENG,
1417,Proof Positive,"Margolin, Phillip",1,Audio Recording Downloadable,HarperCollins Publishers,9780061134715,2006,6,27,,,ENG,Abridged
1418,Pale Demon,"Harrison, Kim",1,Trade Cloth,HarperCollins Publishers Limited,9780061138065,2011,2,22,448,,ENG,
1419,Exiles in America,"Bram, Christopher",1,Perfect,HarperCollins Publishers,9780061138355,2007,1,13,384,,ENG,
1420,Coraline,"Gaiman, Neil",1,Paperback,HarperCollins Publishers,9780061139376,2006,8,29,192,,ENG,
1421,Women on the Edge of a Nervous Breakthrough,"Sharpe, Isabel",1,Perfect,HarperCollins Publishers,9780061140556,2007,2,06,400,,ENG,
1422,Collins Chinese Dictionary,HarperCollins Publishers Ltd. Staff,1,Vinyl Bound,HarperCollins Publishers,9780061141904,2007,0,16,640,,ENG,
1423,Driving Dilemma : The Complete Resource Guide for Older Drivers and Their Families,"Dugan, Elizabeth",1,Paperback,HarperCollins Publishers,9780061142185,2006,0,31,304,,ENG,
1424,Nymphos of Rocky Flats,"Acevedo, Mario",1,E-Book,HarperCollins Publishers,9780061147517,2006,3,14,,,ENG,
1425,We Are Soldiers Still : A Journey Back to the Battlefields of Vietnam,"Moore, Harold G. Galloway, Joseph L.",2,Paperback,HarperCollins Publishers,9780061147777,2009,7,28,288,,ENG,
1426,"Great Deluge : Hurricane Katrina, New Orleans, and the Mississippi Gulf Coast","Brinkley, Douglas",1,Paperback,HarperCollins Publishers,9780061148491,2007,7,31,752,,ENG,
1427,You Can Do It! : The Boomer's Guide to a Great Retirement,"Pond, Jonathan D.",1,Compact Disc,HarperCollins Publishers,9780061149832,2006,2,01,,,ENG,Abridged
1428,Secret History of Tom Trueheart,"Beck, Ian",1,Trade Cloth,HarperCollins Publishers,9780061152108,2007,2,,352,,ENG,
1429,Motherless Mothers : How Mother Loss Shapes the Parents We Be,"Edelman, Hope",1,Audio Recording Downloadable,HarperCollins Publishers,9780061152993,2006,4,04,,,ENG,Abridged
1430,Great Gatsby,"Fitzgerald, F. Scott",1,Compact Disc,HarperCollins Publishers,9780061153556,1975,1,,,,ENG,
1431,Summer Intern,"Karasyov, Carrie Kargman, Jill",2,Paperback,HarperCollins Publishers,9780061153778,2008,6,01,208,,ENG,
1432,Nemesis : A Miss Marple Mystery,"Christie, Agatha",1,E-Book,HarperCollins Publishers,9780061155192,2006,0,03,,,ENG,
1433,One Night of Scandal,"Medeiros, Teresa",1,E-Book,HarperCollins Publishers,9780061158667,2005,2,,,,ENG,
1434,"Meet the Beatles : A Cultural History of the Band That Shook Youth, Gender, and the World","Stark, Steven D.",1,E-Book,HarperCollins Publishers,9780061158704,2005,5,,,,ENG,
1435,Hunter Killer,"Robinson, Patrick",1,E-Book,HarperCollins Publishers,9780061158797,2005,4,,,,ENG,
1436,Storms of Destiny Vol. 1 : The Exiles of Boq'urain,"Crispin, A. C.",1,E-Book,HarperCollins Publishers,9780061159589,2005,0,,,,ENG,
1437,Fault Lines,"Siddons, Anne Rivers",1,E-Book,HarperCollins Publishers,9780061160318,2006,0,03,,,ENG,
1438,"Lamb : The Gospel According to Biff, Christ's Childhood Pal","Moore, Christopher X",1,E-Book,HarperCollins Publishers,9780061161094,2006,3,28,,,ENG,
1439,Ines of My Soul,"Allende, Isabel",1,Trade Cloth,HarperCollins Publishers,9780061161537,2006,1,07,336,,ENG,
